Title,Location,Price,Size
"Bán căn hộ 168m, tòa C2 Udic Westlake - Ciputra",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 168 M2
"Bán căn hộ 3 PN, view Hồ chung cư Water mark, 395 Lạc Long Quân",Khu Vực: Quận Tây Hồ,"Giá: 10,5 tỷ",Diện tích: 123 M2
"Bán căn hộ tòa L1 Ciputra, 153m, 2PN, 2WC view sân Golf",Khu Vực: Ciputra Hà Nội,"Giá: 10,6 tỷ",Diện tích: 153 M2
"Bán căn hộ tòa P1 Ciputra, 182m, 4pn, view sân Golf",Khu Vực: Ciputra Hà Nội,"Giá: 9,7 tỷ",Diện tích: 182 M2
Bán căn hộ Queen 179m2 tòa PentStudio 699 Lạc Long Quân full nội thất,Khu Vực: Quận Tây Hồ,"Giá: 17,5 tỷ",Diện tích: 179 M2
Bán căn hộ 182 m2 3 ngủ 3 tắm view sân golf  tuyệt đẹp tại toà P Ciputra Hà Nội ,Khu Vực: Ciputra Hà Nội,Giá: 10 tỷ,Diện tích: 182 M2
"Bán căn hộ chung cư A2 Phú Thượng, Tây Hồ, Hà Nội",Khu Vực: Quận Tây Hồ,"Giá: 1,85 tỷ",Diện tích: 43 M2
"Bán căn hộ 3 phòng ngủ 123m2 tầng cao view quảng trường G2, G3 giá tốt  ",Khu Vực: Ciputra Hà Nội,"Giá: 5,7 tỷ",Diện tích: 123 M2
"Bán căn hộ 153m, sửa đẹp,  tầng cao tòa nhà E4 Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 7,8 tỷ",Diện tích: 153 M2
Bán căn hộ 2 ngủ 2 Phòng tắm view hồ Tây diện tích 128m2 tại toàn nhà Water Mark Hà Nội,Khu Vực: Quận Tây Hồ,Giá: 12 tỷ,Diện tích: 128 M2
"Bán căn hộ tòa E Ciputra, DT 123m, 2 pn, đầy đủ đồ vào ở ngay",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 123 M2
Bán căn hộ 182 m2 4 phòng ngủ đã sửa đẹp tại toà P1 Ciputra Hà Nội,Khu Vực: Ciputra Hà Nội,Giá: 10 tỷ,Diện tích: 182 M2
"Bán căn hộ 2 phòng ngủ, tầng cao view hồ tây tại dự án D’ LE ROI SOLEIL Xuân Diệu",Khu Vực: Quận Tây Hồ,Giá: 7 tỷ,Diện tích: 82 M2
"Cắt lỗ 1,5 tỷ bán căn hộ tầng cao view hồ, nội thất đẹp toà D.' LE ROI SOLEIL Xuân Diệu",Khu Vực: Quận Tây Hồ,"Giá: 7,2 tỷ",Diện tích: 82 M2
"Hót nhất thi trường bán căn hộ 2 phòng ngủ,92m, view hồ, nội thất xịn",Khu Vực: Quận Tây Hồ,"Giá: 6,15 tỷ",Diện tích: 92 M2
"Giảm sốc 2 tỷ, bán căn hộ cao cấp 3 phòng ngủ, view hồ tây, Phố Xuân Diệu",Khu Vực: Quận Tây Hồ,"Giá: 9,7 tỷ",Diện tích: 111 M2
"Bán căn hộ 2 phòng ngủ, tầng cao tòa A tại D.' LE ROI SOLEIL số 59 Phố Xuân Diệu",Khu Vực: Quận Tây Hồ,"Giá: 7,2 tỷ",Diện tích: 82 M2
Bán căn hộ cao cấp toà B chung cư D Le Roi Soleil số 59  Xuan Diệu,Khu Vực: Quận Tây Hồ,"Giá: 6,2 tỷ",Diện tích: 88 M2
"Bán căn hộ đẹp View chọn Hồ Tây, DT:146m, tại D’. Le Roi Soleil số 59 Phố Xuân Diệu",Khu Vực: Quận Tây Hồ,"Giá: 11,9 tỷ",Diện tích: 146 M2
Chính chủ nhờ bán căn hộ mới cải tạo tại E4 ciputra Tây hồ Hà Nội ,Khu Vực: Quận Tây Hồ,"Giá: 8,5 tỷ",Diện tích: 154 M2
"Chỉ với 5,x tỷ bạn đã sở hữu căn hộ 3 phòng ngủ, 2 phòng tắm diện tích 119m2 tại khu đô thị đẳng cấp nhất Hà nội - Ciputra· ",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 119 M2
Bán căn hộ 1 phòng ngủ Tại The Link Ciputra thiết kế hiện đại giá tốt,Khu Vực: Ciputra Hà Nội,"Giá: 4,5 tỷ",Diện tích: 72 M2
Bán căn hộ view đẹp căn hiếm tại toà nhà D leroi solei Xuân Diệu Tây Hồ Hà Nội,Khu Vực: Quận Tây Hồ,Giá: 12 tỷ,Diện tích: 137 M2
Bán căn hộ cao cấp đủ đồ tầng cao view đẹp 153m2 3 phòng ngủ tại Ciputra Hà Nội,Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 153 M2
"Bán căn hộ cao cấp 126m, 2 phòng ngủ, 3wc, siêu đẹp tại Lancaster số 20 phố núi trúc, Ba đình",Khu Vực: Quận Ba Đình,"Giá: 8,56 tỷ",Diện tích: 126 M2
"Bán căn hộ chung cư Lancaster Núi Trúc, 86m2, 2PN, 2 vệ sinh, đầy đủ đồ",Khu Vực: Quận Ba Đình,"Giá: 5,55 tỷ",Diện tích: 86 M2
"Bán căn hộ chung cư Lancaster - 20 Núi Trúc, 111,6m2, 3PN, viu hồ ngọc khánh, ",Khu Vực: Quận Ba Đình,"Giá: 7,55 tỷ",Diện tích: 120 M2
"Bán căn hộ L12 Ciputra, 267m, view sân Golf",Khu Vực: Ciputra Hà Nội,Giá: 20 tỷ,Diện tích: 267 M2
Bán Penthouse siêu đẹp giá rẻ nhất Ciputra Hanoi,Khu Vực: Quận Tây Hồ,"Giá: 14,5 tỷ",Diện tích: 212 M2
Chính chủ gửi bán căn hộ 154m2 3 phòng ngủ tầng trung L2 Ciputra Tây Hồ Hà Nội ,Khu Vực: Ciputra Hà Nội,"Giá: 8,7 tỷ",Diện tích: 154 M2
"Bán căn hộ 154m2 tầng cao 02 phòng ngủ sửa đẹp tại Toà L Ciputra, Tây Hồ, Hà nội ",Khu Vực: Ciputra Hà Nội,"Giá: 8,4 tỷ",Diện tích: 154 M2
 Bán Căn hộ 4 phòng ngủ 182m2 mới sửa ở tầng cao P1 Ciputra Tây hồ Hà Nội ,Khu Vực: Ciputra Hà Nội,"Giá: 9,3 tỷ",Diện tích:  M2
Chủ nhà cần bán gấp căn Hộ L5 Ciputra Hà Nội tầng cao đồ căn bản ,Khu Vực: Quận Tây Hồ,"Giá: 6,5 tỷ",Diện tích: 114 M2
"Bán căn góc tòa E5 Ciputra, 147m, 4pn, đồ cơ bản",Khu Vực: Ciputra Hà Nội,Giá: 7 tỷ,Diện tích: 147 M2
"HOT! Bán Căn hộ 123m3 E1 Ciputra, Mới-chưa qua sử dụng",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 123 m2 M2
"Bán Căn hộ E1 Ciputra Hà Nội, 123m2, Để lại nội thất, Giá Thiện Chí",Khu Vực: Quận Tây Hồ,"Giá: 5,7 tỷ",Diện tích: 123 m2 M2
"Bán căn hộ Ciputra tòa P1, 182m2, tầng cao view đẹp ",Khu Vực: Ciputra Hà Nội,"Giá: 9,7 tỷ",Diện tích: 182 M2
"Bán căn hộ tòa P1 Ciputra, 145m, view đài phun nước tầng trung ",Khu Vực: Ciputra Hà Nội,"Giá: 7,4 tỷ",Diện tích: 145 M2
"Bán căn hộ view Hồ Tây, Lạc Long Quân 118m, 3pn, giá 3.3 tỷ",Khu Vực: Quận Tây Hồ,"Giá: 3,3 tỷ",Diện tích: 118 M2
"Cần bán Penthouse view Hồ Tây 671 Hoàng Hoa Thám, 333m, 4PN, 4wc, giá hợp lý",Khu Vực: Quận Tây Hồ,"Giá: 14,5 tỷ",Diện tích: 333 M2
"Bán căn hộ tòa E4 Ciputra, 153m, 3pn, sửa đẹp ",Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 153 M2
"Bán căn hộ View golf tòa P1, P2 Ciputra 182m, 4pn, 3wc ",Khu Vực: Ciputra Hà Nội,"Giá: 8,8 tỷ",Diện tích: 182 M2
"Bán chung cư E4 Ciputra 123m, 3pn, 2wc, đầy đủ đồ về ở luôn",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 123 M2
"Bán căn hộ E4 E5 Ciputra, tầng cao, nhìn thấy nghĩa trang, 3pn, 2wc giá rẻ",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 123 M2
"Chính chủ cần bán căn hộ tầng thấp tòa P1 Ciputra, 145m, 3pn, sửa đẹp",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 145 M2
"Bấn căn hộ tòa P1 Ciputra, 182m, 4pn, view Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 9,4 tỷ",Diện tích: 182 M2
"Cần bán căn hộ 58m, tòa L345 Ciputra, đã sửa, đầy đủ nội thất ",Khu Vực: Ciputra Hà Nội,"Giá: 3,5 tỷ",Diện tích: 53 M2
"Bán căn hộ view Golf tòa P2 Ciputra, 145m, 3pn, sửa đẹp",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 145 M2
"Chính chủ cần bán căn hộ tòa E5 Ciputra, 123m, 3pn, 2wc nguyên bản ",Khu Vực: Ciputra Hà Nội,"Giá: 5,7 tỷ",Diện tích: 123 M2
"Bán căn hộ tòa E5 Ciputra, 153m, 4pn, view sân trước giá hợp lý",Khu Vực: Ciputra Hà Nội,"Giá: 7,2 tỷ",Diện tích: 153 M2
"Bán căn hộ L345 Ciputra, 114m, 3pn, 2wc, đầy đủ nội thất ",Khu Vực: Ciputra Hà Nội,"Giá: 6,6 tỷ",Diện tích: 114 M2
"Duy Nhất Penthouse Xuân Diệu, View trực diện Hồ Tây, Dt 330m,4pn, 4wc giá 33 tỷ",Khu Vực: Quận Tây Hồ,Giá: 33 tỷ,Diện tích: 330 M2
"Siêu phẩm Penthouse view Hồ Tây có bể bơi, Dt 250m, hướng Đông Nam, Giá bán 27 tỷ",Khu Vực: Quận Tây Hồ,Giá: 27 tỷ,Diện tích: 250 M2
"Chính chủ bán căn hộ View Hồ Tây, tòa nhà Watermark, 234m, 4pn, 3wc",Khu Vực: Quận Tây Hồ,Giá: 24 tỷ,Diện tích: 234 M2
"Bán Penthouse sky villa 600m x 3 tầng view Sông Hồng, Hồ Tây",Khu Vực: Quận Tây Hồ,Giá: 18 tỷ,Diện tích: 600 M2
"Cần bán căn hộ 165m, tòa L1, view bể bơi, sân golf Ciputra giá 8,7 tỷ",Khu Vực: Ciputra Hà Nội,Giá: 9 tỷ,Diện tích:  M2
"Bán căn hộ penthouse, áp mái G3 Ciputra, 220m, 4pn, 3wc",Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích:  M2
"Chính chủ bán căn hộ G2 Ciputra, 123m, 3 PN, hướng Đông Bắc",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích:  M2
Mở bán quỹ căn Duplex Penthouse thông tầng tại Udic Westlake ,Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 295 M2
"Bán căn hộ tòa G2 Ciputra, 119m, tầng cao, view thoáng ",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 121 M2
"Bán căn hộ 154m, tòa L2 Ciputra, nhà sửa đẹp vào ở ngay",Khu Vực: Ciputra Hà Nội,"Giá: 8,9 tỷ",Diện tích: 154 M2
"L1 Ciputra: Căn hộ 154m, 3 PN, sửa đẹp, view sân Golf tầng 19 cần bán",Khu Vực: Ciputra Hà Nội,Giá: 9 tỷ,Diện tích: 154 M2
"Bán căn hộ 182m View sân Golf, đẹp nhất tòa P1 Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 10,5 tỷ",Diện tích: 182 M2
"Bán căn hộ  view sân Golf P1, P2 Ciputra 182m, 4pn, nội thất gỗ tự nhiên siêu hiếm",Khu Vực: Ciputra Hà Nội,"Giá: 9,5 tỷ",Diện tích: 182 M2
"L345 Rẻ nhất thị trường bán căn  hộ 58m, 2pn ",Khu Vực: Ciputra Hà Nội,"Giá: 3,5 tỷ",Diện tích: 58 M2
Bán Căn hộ E4 Ciputra 123m2 tầng cao view Hanoi Academy,Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 123 M2
"Bán và cho thuê căn hộ G2 ciputra, 123m, 3pn, 2wc hướng Tây Nam ",Khu Vực: Ciputra Hà Nội,"Giá: 5,5 tỷ",Diện tích: 123 M2
Bán Căn hộ 123m giá rẻ nhất E4 Ciputra ,Khu Vực: Ciputra Hà Nội,Giá: 6 tỷ,Diện tích: 123 M2
"Bán Căn Hộ Sunshine City, 03 Phòng Ngủ, Hướng Đông Nam, View Sân Golf, Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 5,1 tỷ",Diện tích: 105.5 M2
"Căn hộ E4 153m, 2 phòng ngủ sửa đẹp, vào ở ngay ",Khu Vực: Ciputra Hà Nội,"Giá: 7,5 tỷ",Diện tích: 152 M2
"Bán Căn hộ Ciputra 182m2 tòa P2 Ciputra hướng Đông Bắc, SĐCC",Khu Vực: Ciputra Hà Nội,"Giá: 9,8 tỷ",Diện tích: 182 M2
"Căn hộ view sân Golf, 182m, 4pn, nguyên bản bán ",Khu Vực: Ciputra Hà Nội,"Giá: 10,7 tỷ",Diện tích: 182 M2
"Bán căn hộ đã sửa 182m, tòa P, 3pn, 3wc view sân Golf Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 182 M2
Bán Căn hộ 145m2 tòa P2 Ciputra view sân Gôn hướng Đông Bắc,Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 145 M2
"Bán Duplex Penthouse tòa P Ciputra, hướng Đông Nam, 250m2",Khu Vực: Ciputra Hà Nội,"Giá: 16,5 tỷ",Diện tích: 250 M2
"Chính chủ cần Bán Căn hộ 123m2, view khu Biệt thự, hướng ĐN tòa E4 Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 123 M2
"Bán Căn Hộ Tòa P1 Ciputra, 145m2, View Khu Biệt Thự, Hướng Đông Nam",Khu Vực: Ciputra Hà Nội,Giá: 7 tỷ,Diện tích: 145 M2
"Bán căn hộ Golden Westlake, 185m2, 3 phòng ngủ, hướng Đông Nam",Khu Vực: Quận Ba Đình,"Giá: 10,3 tỷ",Diện tích: 185 M2
"Bán Căn Hộ Tòa P1 Ciputra, Tầng Cao, View Khu Biệt Thự, Hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 6,8 tỷ",Diện tích: 145 M2
"Giá siêu hiếm: Bán căn hộ 114m, tòa L4 view sân Golf hướng ĐN",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 114 M2
"Bán căn hộ 3 ngủ R1 Sunshine Riverside, đầy đủ đồ, mới đẹp Giá 3.6 tỷ LH: 0934435356",Khu Vực: Quận Tây Hồ,"Giá: 3,6 tỷ",Diện tích: 96 M2
"Cần bán căn hộ tòa R3 106m2 Sunshine Riverside  view Hồ Tây, đủ đồ nội thất Giá rẻ chỉ 4 tỷ",Khu Vực: Quận Tây Hồ,Giá: 4 tỷ,Diện tích: 106 M2
"Căn hộ R3 Sunshine Riverside, 3 ngủ đủ đồ y hình, view đẹp cần bán gấp",Khu Vực: Quận Tây Hồ,"Giá: 4,7 tỷ",Diện tích: 107 M2
"Căn hộ 3 ngủ R3 Sunshine Riverside, đủ đồ cần bán Giá 4 tỷ LH: 0934435356",Khu Vực: Quận Tây Hồ,Giá: 4 tỷ,Diện tích: 107 M2
"Bán căn 2 ngủ R2 Sunshine , nội thất đầy đủ y hình ",Khu Vực: Quận Tây Hồ,"Giá: 2,3 tỷ",Diện tích: 57 M2
"Căn hộ 2 ngủ tại R1, Sushine Riverside , view Hồ Tây, đủ đồ cần bán",Khu Vực: Quận Tây Hồ,"Giá: 2,9 tỷ",Diện tích: 61 M2
"Bán căn hộ R2 Sunshine Riverside , 3 ngủ đầy đủ đồ view Hồ Tây, cầu Nhật Tân ",Khu Vực: Quận Tây Hồ,"Giá: 4,4 tỷ",Diện tích: 89 M2
"Bán căn hộ Mipec Long Biên view trực diện sông Hồng, tòa B tầng cao 138m2 Giá 6.8 tỷ ",Khu Vực: Quận Tây Hồ,"Giá: 6,8 tỷ",Diện tích: 138 M2
"Watermark: Căn hộ cao cấp 6 sao view Hồ Tây, dt 245m, 4 phòng ngủ, 3 vệ sinh, nội thất nhập khẩu",Khu Vực: Quận Tây Hồ,Giá: 25 tỷ,Diện tích: 245 M2
"Bán gấp căn hộ View sân golf tòa P2, 145m, 3pn, 2wc ",Khu Vực: Ciputra Hà Nội,"Giá: 5,4 tỷ",Diện tích:  M2
"Giá Chốt nhanh: Bán căn hộ L3 Ciputra 154m2 nội thất xịn, View đẹp",Khu Vực: Ciputra Hà Nội,"Giá: 9,5 tỷ",Diện tích: 154 M2
"Cần bán căn hộ view Golf, tòa P2, dt 145m, 3pn, 2wc",Khu Vực: Ciputra Hà Nội,"Giá: 8,3 tỷ",Diện tích: 145 M2
"Cần bán gấp căn hộ Pentstudio view cầu Nhật Tân, Sông Hồng dt 155m, 3 phòng ngủ 2wc",Khu Vực: Quận Tây Hồ,Giá: 11 tỷ,Diện tích: 155 M2
"Cần bán căn hộ 154m, tòa E5 Ciputra, Tây Hồ, 4 phòng ngủ hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 6,5 tỷ",Diện tích: 154 M2
"Bán căn hộ 114m, tòa L1 Ciputra, 3 phòng ngủ, đủ đồ ",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 114 M2
"Bán căn hộ 4 phòng ngủ, 182m, tòa P1 Ciputra  ",Khu Vực: Ciputra Hà Nội,"Giá: 9,7 tỷ",Diện tích:  M2
"bán căn hộ 145m, tòa P2 Ciputra, view sân Golf tầng cao đủ đồ ",Khu Vực: Ciputra Hà Nội,"Giá: 7,5 tỷ",Diện tích:  M2
"Bán căn hộ chung cư Oriental Westlake, 2pn, 01 vệ sinh giá bán 2.5 tỷ",Khu Vực: Quận Tây Hồ,"Giá: 2,5 tỷ",Diện tích:  M2
"Căn hộ 182m, tòa P2, view sân golf 4 phòng ngủ ",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích:  M2
"Bán căn hộ 58m, tòa L345, Ciputra tầng cao ",Khu Vực: Ciputra Hà Nội,"Giá: 3,35 tỷ",Diện tích: 57 M2
"L345 Bán căn hộ 114m, view sân Golf tòa L4 đầy đủ nội thất",Khu Vực: Ciputra Hà Nội,"Giá: 5,5 tỷ",Diện tích: 114 M2
"Chính chủ bán căn hộ tòa E5 Ciputra, 153m, 4 phòng ngủ, 2 wc, hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 153 M2
"Bán căn hộ 153m, tòa G2 Ciputra, Hà Nội view Hồ Tây ",Khu Vực: Ciputra Hà Nội,"Giá: 5,3 tỷ",Diện tích: 153 M2
"Căn hộ 80,1m2 tòa N03-T8 khu Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,"Diện tích: 80,1 M2"
"Chính chủ bán căn hộ 127m2 tòa N01T3, P. Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 127 M2
"Bán gấp căn hộ căn góc 95m2 tòa nhà N01T3, Ngoại Giao Đoàn, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 95 M2
"Bán căn hộ  89,2m2 thuộc Tòa N03 - T8 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 89.5 M2
"Cần bán ngay căn hộ 104m2 tòa nhà N03T1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 104 M2
"Bán gấp căn hộ căn góc 95,5 m2 Tòa N03T1 Ngoại Giao Đoàn",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 95.5 M2
"Bán căn hộ 68m2 chung cư N04A Ngoại Giao Đoàn, ",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 68 M2
"Cần bán ngay căn hộ  căn góc 95,5m2 tòa nhà N03T1, Ngoại Giao Đoàn, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 95.5 M2
"Chính chủ bán gấp căn hộ rộng 124m2 tòa N02-T2 Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 124 M2
 Cần bán căn hộ góc 122m2 chung cư Lạc Hồng Lotus 1 Giá Rẻ,Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 122 M2
"Chính chủ gửi bán căn 03, 08, 09 chung cư N01T5 Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Bán gấp căn hộ Lạc Hồng Lotus 1 tòa N01-T5, P. Xuân Tảo, Q. Bắc Từ Liêm, Hà Nội",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Chính chủ bán căn hộ că góc 126m2 Tòa Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 122 M2
"Bán căn hộ căn góc tòa nhà N01T5 Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Bán căn của tòa N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Bán gấp căn số 02 view hồ N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
