Title,Location,Price,Size
"Bán căn hộ view Hồ Tây, Lạc Long Quân 118m, 3pn, giá 3.3 tỷ",Khu Vực: Quận Tây Hồ,"Giá: 3,3 tỷ",Diện tích: 118 M2
"Cần bán Penthouse view Hồ Tây 671 Hoàng Hoa Thám, 333m, 4PN, 4wc, giá hợp lý",Khu Vực: Quận Tây Hồ,"Giá: 14,5 tỷ",Diện tích: 333 M2
"Bán căn hộ tòa E4 Ciputra, 153m, 3pn, sửa đẹp ",Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 153 M2
"Bán căn hộ View golf tòa P1, P2 Ciputra 182m, 4pn, 3wc ",Khu Vực: Ciputra Hà Nội,"Giá: 8,8 tỷ",Diện tích: 182 M2
"Bán chung cư E4 Ciputra 123m, 3pn, 2wc, đầy đủ đồ về ở luôn",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 123 M2
"Bán căn hộ E4 E5 Ciputra, tầng cao, nhìn thấy nghĩa trang, 3pn, 2wc giá rẻ",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 123 M2
"Chính chủ cần bán căn hộ tầng thấp tòa P1 Ciputra, 145m, 3pn, sửa đẹp",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 145 M2
"Bấn căn hộ tòa P1 Ciputra, 182m, 4pn, view Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 9,4 tỷ",Diện tích: 182 M2
"Cần bán căn hộ 58m, tòa L345 Ciputra, đã sửa, đầy đủ nội thất ",Khu Vực: Ciputra Hà Nội,"Giá: 3,5 tỷ",Diện tích: 53 M2
"Bán căn hộ view Golf tòa P2 Ciputra, 145m, 3pn, sửa đẹp",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 145 M2
"Chính chủ cần bán căn hộ tòa E5 Ciputra, 123m, 3pn, 2wc nguyên bản ",Khu Vực: Ciputra Hà Nội,"Giá: 5,7 tỷ",Diện tích: 123 M2
"Bán căn hộ tòa E5 Ciputra, 153m, 4pn, view sân trước giá hợp lý",Khu Vực: Ciputra Hà Nội,"Giá: 7,2 tỷ",Diện tích: 153 M2
"Bán căn hộ L345 Ciputra, 114m, 3pn, 2wc, đầy đủ nội thất ",Khu Vực: Ciputra Hà Nội,"Giá: 6,6 tỷ",Diện tích: 114 M2
"Duy Nhất Penthouse Xuân Diệu, View trực diện Hồ Tây, Dt 330m,4pn, 4wc giá 33 tỷ",Khu Vực: Quận Tây Hồ,Giá: 33 tỷ,Diện tích: 330 M2
"Siêu phẩm Penthouse view Hồ Tây có bể bơi, Dt 250m, hướng Đông Nam, Giá bán 27 tỷ",Khu Vực: Quận Tây Hồ,Giá: 27 tỷ,Diện tích: 250 M2
"Chính chủ bán căn hộ View Hồ Tây, tòa nhà Watermark, 234m, 4pn, 3wc",Khu Vực: Quận Tây Hồ,Giá: 24 tỷ,Diện tích: 234 M2
"Bán Penthouse sky villa 600m x 3 tầng view Sông Hồng, Hồ Tây",Khu Vực: Quận Tây Hồ,Giá: 18 tỷ,Diện tích: 600 M2
"Cần bán căn hộ 165m, tòa L1, view bể bơi, sân golf Ciputra giá 8,7 tỷ",Khu Vực: Ciputra Hà Nội,Giá: 9 tỷ,Diện tích:  M2
"Bán căn hộ penthouse, áp mái G3 Ciputra, 220m, 4pn, 3wc",Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích:  M2
"Chính chủ bán căn hộ G2 Ciputra, 123m, 3 PN, hướng Đông Bắc",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích:  M2
Mở bán quỹ căn Duplex Penthouse thông tầng tại Udic Westlake ,Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 295 M2
"Bán căn hộ tòa G2 Ciputra, 119m, tầng cao, view thoáng ",Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 121 M2
"Bán căn hộ 154m, tòa L2 Ciputra, nhà sửa đẹp vào ở ngay",Khu Vực: Ciputra Hà Nội,"Giá: 8,9 tỷ",Diện tích: 154 M2
"L1 Ciputra: Căn hộ 154m, 3 PN, sửa đẹp, view sân Golf tầng 19 cần bán",Khu Vực: Ciputra Hà Nội,Giá: 9 tỷ,Diện tích: 154 M2
"Bán căn hộ 182m View sân Golf, đẹp nhất tòa P1 Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 10,5 tỷ",Diện tích: 182 M2
"Bán căn hộ  view sân Golf P1, P2 Ciputra 182m, 4pn, nội thất gỗ tự nhiên siêu hiếm",Khu Vực: Ciputra Hà Nội,"Giá: 9,5 tỷ",Diện tích: 182 M2
"L345 Rẻ nhất thị trường bán căn  hộ 58m, 2pn ",Khu Vực: Ciputra Hà Nội,"Giá: 3,5 tỷ",Diện tích: 58 M2
Bán Căn hộ E4 Ciputra 123m2 tầng cao view Hanoi Academy,Khu Vực: Ciputra Hà Nội,"Giá: 5,6 tỷ",Diện tích: 123 M2
"Bán và cho thuê căn hộ G2 ciputra, 123m, 3pn, 2wc hướng Tây Nam ",Khu Vực: Ciputra Hà Nội,"Giá: 5,5 tỷ",Diện tích: 123 M2
Bán Căn hộ 123m giá rẻ nhất E4 Ciputra ,Khu Vực: Ciputra Hà Nội,Giá: 6 tỷ,Diện tích: 123 M2
"Bán Căn Hộ Sunshine City, 03 Phòng Ngủ, Hướng Đông Nam, View Sân Golf, Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 5,1 tỷ",Diện tích: 105.5 M2
"Căn hộ E4 153m, 2 phòng ngủ sửa đẹp, vào ở ngay ",Khu Vực: Ciputra Hà Nội,"Giá: 7,5 tỷ",Diện tích: 152 M2
"Bán Căn hộ Ciputra 182m2 tòa P2 Ciputra hướng Đông Bắc, SĐCC",Khu Vực: Ciputra Hà Nội,"Giá: 9,8 tỷ",Diện tích: 182 M2
"Căn hộ view sân Golf, 182m, 4pn, nguyên bản bán ",Khu Vực: Ciputra Hà Nội,"Giá: 10,7 tỷ",Diện tích: 182 M2
"Bán căn hộ đã sửa 182m, tòa P, 3pn, 3wc view sân Golf Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 182 M2
Bán Căn hộ 145m2 tòa P2 Ciputra view sân Gôn hướng Đông Bắc,Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 145 M2
"Bán Duplex Penthouse tòa P Ciputra, hướng Đông Nam, 250m2",Khu Vực: Ciputra Hà Nội,"Giá: 16,5 tỷ",Diện tích: 250 M2
"Chính chủ cần Bán Căn hộ 123m2, view khu Biệt thự, hướng ĐN tòa E4 Ciputra",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 123 M2
"Bán Căn Hộ Tòa P1 Ciputra, 145m2, View Khu Biệt Thự, Hướng Đông Nam",Khu Vực: Ciputra Hà Nội,Giá: 7 tỷ,Diện tích: 145 M2
"Bán căn hộ Golden Westlake, 185m2, 3 phòng ngủ, hướng Đông Nam",Khu Vực: Quận Ba Đình,"Giá: 10,3 tỷ",Diện tích: 185 M2
"Bán Căn Hộ Tòa P1 Ciputra, Tầng Cao, View Khu Biệt Thự, Hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 6,8 tỷ",Diện tích: 145 M2
"Giá siêu hiếm: Bán căn hộ 114m, tòa L4 view sân Golf hướng ĐN",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 114 M2
"Bán căn hộ 3 ngủ R1 Sunshine Riverside, đầy đủ đồ, mới đẹp Giá 3.6 tỷ LH: 0934435356",Khu Vực: Quận Tây Hồ,"Giá: 3,6 tỷ",Diện tích: 96 M2
"Cần bán căn hộ tòa R3 106m2 Sunshine Riverside  view Hồ Tây, đủ đồ nội thất Giá rẻ chỉ 4 tỷ",Khu Vực: Quận Tây Hồ,Giá: 4 tỷ,Diện tích: 106 M2
"Căn hộ R3 Sunshine Riverside, 3 ngủ đủ đồ y hình, view đẹp cần bán gấp",Khu Vực: Quận Tây Hồ,"Giá: 4,7 tỷ",Diện tích: 107 M2
"Căn hộ 3 ngủ R3 Sunshine Riverside, đủ đồ cần bán Giá 4 tỷ LH: 0934435356",Khu Vực: Quận Tây Hồ,Giá: 4 tỷ,Diện tích: 107 M2
"Bán căn 2 ngủ R2 Sunshine , nội thất đầy đủ y hình ",Khu Vực: Quận Tây Hồ,"Giá: 2,3 tỷ",Diện tích: 57 M2
"Căn hộ 2 ngủ tại R1, Sushine Riverside , view Hồ Tây, đủ đồ cần bán",Khu Vực: Quận Tây Hồ,"Giá: 2,9 tỷ",Diện tích: 61 M2
"Bán căn hộ R2 Sunshine Riverside , 3 ngủ đầy đủ đồ view Hồ Tây, cầu Nhật Tân ",Khu Vực: Quận Tây Hồ,"Giá: 4,4 tỷ",Diện tích: 89 M2
"Bán căn hộ Mipec Long Biên view trực diện sông Hồng, tòa B tầng cao 138m2 Giá 6.8 tỷ ",Khu Vực: Quận Tây Hồ,"Giá: 6,8 tỷ",Diện tích: 138 M2
"Watermark: Căn hộ cao cấp 6 sao view Hồ Tây, dt 245m, 4 phòng ngủ, 3 vệ sinh, nội thất nhập khẩu",Khu Vực: Quận Tây Hồ,Giá: 25 tỷ,Diện tích: 245 M2
"Bán gấp căn hộ View sân golf tòa P2, 145m, 3pn, 2wc ",Khu Vực: Ciputra Hà Nội,"Giá: 5,4 tỷ",Diện tích:  M2
"Giá Chốt nhanh: Bán căn hộ L3 Ciputra 154m2 nội thất xịn, View đẹp",Khu Vực: Ciputra Hà Nội,"Giá: 9,5 tỷ",Diện tích: 154 M2
"Cần bán căn hộ view Golf, tòa P2, dt 145m, 3pn, 2wc",Khu Vực: Ciputra Hà Nội,"Giá: 8,3 tỷ",Diện tích: 145 M2
"Cần bán gấp căn hộ Pentstudio view cầu Nhật Tân, Sông Hồng dt 155m, 3 phòng ngủ 2wc",Khu Vực: Quận Tây Hồ,Giá: 11 tỷ,Diện tích: 155 M2
"Cần bán căn hộ 154m, tòa E5 Ciputra, Tây Hồ, 4 phòng ngủ hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 6,5 tỷ",Diện tích: 154 M2
"Bán căn hộ 114m, tòa L1 Ciputra, 3 phòng ngủ, đủ đồ ",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 114 M2
"Bán căn hộ 4 phòng ngủ, 182m, tòa P1 Ciputra  ",Khu Vực: Ciputra Hà Nội,"Giá: 9,7 tỷ",Diện tích:  M2
"bán căn hộ 145m, tòa P2 Ciputra, view sân Golf tầng cao đủ đồ ",Khu Vực: Ciputra Hà Nội,"Giá: 7,5 tỷ",Diện tích:  M2
"Bán căn hộ chung cư Oriental Westlake, 2pn, 01 vệ sinh giá bán 2.5 tỷ",Khu Vực: Quận Tây Hồ,"Giá: 2,5 tỷ",Diện tích:  M2
"Căn hộ 182m, tòa P2, view sân golf 4 phòng ngủ ",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích:  M2
"Bán căn hộ 58m, tòa L345, Ciputra tầng cao ",Khu Vực: Ciputra Hà Nội,"Giá: 3,35 tỷ",Diện tích: 57 M2
"L345 Bán căn hộ 114m, view sân Golf tòa L4 đầy đủ nội thất",Khu Vực: Ciputra Hà Nội,"Giá: 5,5 tỷ",Diện tích: 114 M2
"Chính chủ bán căn hộ tòa E5 Ciputra, 153m, 4 phòng ngủ, 2 wc, hướng Đông Nam",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 153 M2
"Bán căn hộ 153m, tòa G2 Ciputra, Hà Nội view Hồ Tây ",Khu Vực: Ciputra Hà Nội,"Giá: 5,3 tỷ",Diện tích: 153 M2
"Căn hộ 80,1m2 tòa N03-T8 khu Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,"Diện tích: 80,1 M2"
"Chính chủ bán căn hộ 127m2 tòa N01T3, P. Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 127 M2
"Bán gấp căn hộ căn góc 95m2 tòa nhà N01T3, Ngoại Giao Đoàn, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 95 M2
"Bán căn hộ  89,2m2 thuộc Tòa N03 - T8 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 89.5 M2
"Cần bán ngay căn hộ 104m2 tòa nhà N03T1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 104 M2
"Bán gấp căn hộ căn góc 95,5 m2 Tòa N03T1 Ngoại Giao Đoàn",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 95.5 M2
"Bán căn hộ 68m2 chung cư N04A Ngoại Giao Đoàn, ",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 68 M2
"Cần bán ngay căn hộ  căn góc 95,5m2 tòa nhà N03T1, Ngoại Giao Đoàn, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 95.5 M2
"Chính chủ bán gấp căn hộ rộng 124m2 tòa N02-T2 Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 124 M2
 Cần bán căn hộ góc 122m2 chung cư Lạc Hồng Lotus 1 Giá Rẻ,Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 122 M2
"Chính chủ gửi bán căn 03, 08, 09 chung cư N01T5 Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Bán gấp căn hộ Lạc Hồng Lotus 1 tòa N01-T5, P. Xuân Tảo, Q. Bắc Từ Liêm, Hà Nội",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Chính chủ bán căn hộ că góc 126m2 Tòa Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 122 M2
"Bán căn hộ căn góc tòa nhà N01T5 Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Bán căn của tòa N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Bán gấp căn số 02 view hồ N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Do cần tài chính cho con đi du học, chủ nhà cần bán căn hộ 08 tầng cao Lạc Hồng Lotus 1 -  N01T5 Ngoại Giao Đoàn.",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Bán căn hộ 87m2 tầng trung Tòa Lạc Hồng Lotus 1 - N01T5, Ngoại Giao Đoàn, P. Xuân Tảo, Bắc Từ Liêm.",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Chủ nhà cần bán gấp căn hộ 114m2, Tòa L1 Ciputra",Khu Vực: Ciputra Hà Nội,Giá: 6 tỷ,Diện tích: 114 M2
"Bán Căn hộ diện tích 114m2, Tòa L2 Ciputra, thiết kế 3 phòng ngủ, 2 phòng vệ sinh",Khu Vực: Ciputra Hà Nội,"Giá: 7,2 tỷ",Diện tích: 114 M2
"Bán căn hộ số 6 tòa P2, view sân golf, bể bơi, Ciputra Tây Hồ, Hà Nội",Khu Vực: Ciputra Hà Nội,"Giá: 10,5 tỷ",Diện tích: 182 M2
"Bán căn hộ số 06, tòa P2, 3 PN, view Golf đẹp nhất khu Ciputra Hà Nội",Khu Vực: Ciputra Hà Nội,Giá: 9 tỷ,Diện tích: 182 M2
"Bán căn hộ 145m2 tòa P2 Ciputra, KDT Nam Thăng Long - Tây Hồ",Khu Vực: Quận Tây Hồ,"Giá: 6,1 tỷ",Diện tích: 145 M2
"Bán căn hộ 05 tầng cao tòa P1 Ciputra 145m2, Phú Thượng, Tây Hồ",Khu Vực: Ciputra Hà Nội,"Giá: 5,7 tỷ",Diện tích: 145 M2
"Bán căn hộ tầng trung P1 dt 145m2 Ciputra, Phú Thượng, Tây Hồ",Khu Vực: Ciputra Hà Nội,"Giá: 5,8 tỷ",Diện tích: 145 M2
"Bán căn hộ tầng thấp 145m2 căn hộ P2 Ciputra, KDT Nam Thăng Long - Tây Hồ ",Khu Vực: Ciputra Hà Nội,"Giá: 6,9 tỷ",Diện tích: 145 M2
Gấp! Cần bán gấp căn 3 PN ban công hướng Đông view Hồ Tây Ngoại Giao Đoàn,Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 109 M2
"Cần bán căn hộ căn góc 122m2 thông thủy, chung cư Lạc Hồng Lotus 1",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 122 M2
"Bán căn hộ 3104 diện tích 108m2 chung cư Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Bán căn hộ rộng 120m2 Tòa N04B - T2 Ngoại Giao Đoàn, P. Xuân Tảo, Bắc Từ Liêm",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 120 M2
"Chính chủ bán căn hộ 60m2 chung cư N04A Ngoại Giao Đoàn, Bắc Từ Liêm",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 60 M2
"Chính chủ bán căn hộ 89,5m2 Tòa N03 - T8 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm",Khu Vực: Ciputra Hà Nội,Giá: Vui lòng liên hệ,Diện tích: 90 M2
Chính chủ bán gấp căn hộ 91m2 tòa N02T1  tại khu Ngoại Giao Đoàn,Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 84 M2
"Bán gấp căn hộ 83,3m2  tòa N02T1 Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 83.3 M2
"Bán gấp căn hộ 91m2 tòa N02T1  tại khu Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Tây Hồ,Giá: Vui lòng liên hệ,Diện tích: 84 M2
"Chính chủ bán căn hộ căn góc 126m2 Tòa Lạc Hồng Lotus 1 - N01T5 Ngoại Giao Đoàn, Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 126 M2
"Bán căn hộ căn góc tòa nhà N01T5 - Lạc Hồng Lotus 1, Ngoại Giao Đoàn",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 108 M2
"Bán gấp căn hộ 87m2 Tòa Lạc Hồng Lotus 1 - N01T5, Ngoại Giao Đoàn, P. Xuân Tảo",Khu Vực: Quận Từ Liêm,Giá: Vui lòng liên hệ,Diện tích: 87 M2
"Chính chủ cần bán gấp căn hộ L 345 Ciputra 114m, 3 phòng ngủ",Khu Vực: Ciputra Hà Nội,"Giá: 7,1 tỷ",Diện tích: 114 M2
"Chủ nhà cần tiền đầu tư bán gấp căn hộ 4 phòng ngủ, 182m P1, P2 Ciputra, Hà Nội",Khu Vực: Ciputra Hà Nội,"Giá: 8,9 tỷ",Diện tích: 182 M2
"Chính chủ cần bán gấp căn hộ 4 phòng ngủ, view sân golf P1, P2 Ciputra, Hà Nội",Khu Vực: Ciputra Hà Nội,"Giá: 10,4 tỷ",Diện tích: 182 M2
" Bán gấp căn hộ182 m2, căn hộ 4 phòng ngủ P1, P2 Ciputra, Hà Nội",Khu Vực: Ciputra Hà Nội,"Giá: 8,7 tỷ",Diện tích: 182 M2
"Cần bán gấp căn hộ 182m2, 4 phòng ngủ P1, P2 Ciputra, Hà Nội",Khu Vực: Ciputra Hà Nội,Giá: 10 tỷ,Diện tích: 182 M2
"Bán căn hộ cao cấp view đẹp toà nhà E1 Ciputra Tây Hồ, Hà Nội.",Khu Vực: Ciputra Hà Nội,"Giá: 6,68 tỷ",Diện tích: 153 M2
"Chính chủ bán căn hộ tòa G2 Ciputra, 119m, view biệt thự, hướng Đông Bắc",Khu Vực: Ciputra Hà Nội,"Giá: 5,5 tỷ",Diện tích: 119 M2
"Cần bán gấp căn hộ tầng cao Tòa E- Ciputra- Nam Thăng Long, quận Tây Hồ",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 153 M2
"Căn hộ chung cư E1 Ciputra với diện tích 153m2 cần bán gấp, thiết kế 4 phòng ngủ",Khu Vực: Ciputra Hà Nội,"Giá: 8,5 tỷ",Diện tích: 153 M2
"Cần bán căn hộ tầng 15 tòa E5 chung cư Ciputra, Phú Thượng, Tây Hồ ",Khu Vực: Ciputra Hà Nội,"Giá: 6,2 tỷ",Diện tích: 123 M2
"Bán gấp căn hộ 153m2 thuộc tòa nhà E1 Ciputra, Phú Thượng, Tây Hồ",Khu Vực: Ciputra Hà Nội,"Giá: 8,2 tỷ",Diện tích: 153 M2
"Bán căn hộ tòa E5 Ciputra, Tây Hồ, Hà Nội. Căn hộ có diện tích 142 m2, thiết kế 4 phòng ngủ",Khu Vực: Ciputra Hà Nội,Giá: 7 tỷ,Diện tích: 142 M2
"Bán căn góc 153m, tòa E1 KĐT Ciputra",Khu Vực: Ciputra Hà Nội,Giá: 8 tỷ,Diện tích: 153 M2
"Bán gấp căn hộ tầng 8, 153m2 tòa E1 Ciputra, Tây Hồ",Khu Vực: Quận Tây Hồ,"Giá: 8,5 tỷ",Diện tích: 153 M2
"Căn hộ chung cư E1 Ciputra, Quận Tây Hồ, 4 phòng ngủ cần bán gấp với diện tích 153m2",Khu Vực: Quận Tây Hồ,"Giá: 7,1 tỷ",Diện tích: 153 M2
"Bán căn hộ 123m2 Tòa E1 ciputra - Phú Thượng, Quận Tây Hồ. ",Khu Vực: Ciputra Hà Nội,Giá: 6 tỷ,Diện tích: 123 M2
